longitude,latitude,septic_id_short,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,house_ids
36.318264,32.301319,D1-B8-T5,8,160,,,"D01-B07-H071,D01-B07-H072,D01-B07-H073,D01-B07-H074,D01-B07-H075,D01-B07-H076,D01-B07-H077,D01-B07-H078,D01-B07-H079,D01-B08-H027"
36.318385,32.301272,D1-B8-T6,8,160,,,"D01-B08-H023,D01-B08-H024,D01-B08-H025,D01-B08-H026,D01-B08-H027,D01-B08-H028,D01-B08-H029,D01-B08-H030,D01-B08-H047,D01-B08-H048,D01-B08-H049,D01-B08-H050,D01-B08-H051,D01-B08-H052,D01-B08-H053"
36.319569,32.301212,D1-B8-T8,2,160,,,"D01-B07-H091,D01-B08-H014"
36.319865,32.300956,D1-B8-T9,8,160,,,"D01-B08-H011,D01-B08-H012,D01-B08-H061,D01-B08-H062,D01-B08-H063,D01-B08-H064,D01-B09-H011,D01-B09-H012,D01-B09-H013,D01-B09-H014,D01-B09-H015"
36.32007,32.300887,D1-B8-T10,8,160,,,"D01-B08-H065,D01-B08-H066,D01-B08-H067,D01-B08-H068,D01-B09-H007,D01-B09-H008,D01-B09-H009,D01-B09-H010"
36.318921,32.301245,D1-B8-T11,4,160,,,"D01-B07-H090,D01-B08-H018,D01-B08-H019,D01-B08-H020,D01-B08-H022"
36.319934,32.301163,D1-B8-T12,4,160,,,"D01-B07-H094,D01-B07-H095,D01-B07-H096,D01-B08-H007,D01-B08-H008,D01-B08-H009,D01-B08-H010,D01-B08-H011"
36.3204,32.301102,D1-B8-T13,4,160,,,"D01-B08-H004,D01-B08-H005,D01-B08-H006,D01-B08-H007,D01-B08-H065,D01-B08-H066"
36.316534,32.301386,D1-B9-T1,4,160,,,"D01-B09-H036,D01-B09-H037,D01-B09-H038,D01-B09-H039,D01-B09-H040,D01-B09-H042,D01-B09-H043,D01-B09-H047"
36.316516,32.301063,D1-B9-T2,8,160,,,"D01-B09-H041,D01-B09-H045,D01-B10-H100,D01-B10-H214,D01-B10-H215,D01-B10-H216,D01-B10-H226,D01-B10-H227"
36.316952,32.301001,D1-B9-T3,4,160,,,"D01-B09-H035,D01-B09-H048,D01-B09-H050,D01-B10-H207"
36.317122,32.300967,D1-B9-T4,4,160,,,"D01-B09-H054,D01-B09-H055,D01-B09-H056,D01-B09-H057,D01-B09-H058,D01-B10-H097,D01-B10-H188,D01-B10-H196,D01-B10-H198,D01-B10-H199"
36.317705,32.300956,D1-B9-T5,4,160,,,"D01-B09-H059,D01-B09-H060,D01-B09-H061,D01-B09-H062,D01-B09-H064,D01-B09-H064-1,D01-B09-H065"
36.318356,32.301101,D1-B9-T6,4,160,,,"D01-B09-H020,D01-B09-H021,D01-B09-H022,D01-B09-H072,D01-B09-H073,D01-B09-H074,D01-B09-H076"
36.318243,32.300977,D1-B9-T7,8,160,,,"D01-B09-H023,D01-B09-H024,D01-B09-H067,D01-B09-H068,D01-B09-H069,D01-B09-H070,D01-B09-H071"
36.318773,32.30076,D1-B9-T8,4,160,,,"D01-B09-H078,D01-B09-H080,D01-B09-H081,D01-B09-H085,D01-B09-H086,D01-B09-H088"
36.318958,32.300971,D1-B9-T9,4,160,,,"D01-B08-H054,D01-B09-H077,D01-B09-H079,D01-B09-H081,D01-B09-H084,D01-B09-H086,D01-B09-H087"
36.319204,32.300977,D1-B9-T10,4,160,,,"D01-B08-H020,D01-B08-H021,D01-B08-H022,D01-B08-H054,D01-B08-H055,D01-B08-H057,D01-B09-H018"
36.319295,32.300969,D1-B9-T11,4,160,,,"D01-B07-H090,D01-B08-H015,D01-B08-H017,D01-B08-H019,D01-B08-H056,D01-B08-H058,D01-B08-H059,D01-B09-H016"
36.319281,32.300832,D1-B9-T12,8,160,,,"D01-B09-H089,D01-B09-H091,D01-B09-H092,D01-B09-H093"
36.320331,32.300794,D1-B9-T13,8,160,,,"D01-B08-H069,D01-B08-H070,D01-B08-H071,D01-B08-H072,D01-B08-H073,D01-B09-H002,D01-B09-H003,D01-B09-H004,D01-B09-H005,D01-B09-H006,D01-B09-H104,D01-B09-H105,D01-B09-H106"
36.320427,32.300535,D1-B9-T14,4,160,,,"D01-B09-H001,D01-B09-H010,D01-B09-H102,D01-B09-H103,D01-B09-H106,D01-B09-H107,D01-B10-H015"
36.317114,32.301297,D1-B9-T15,4,160,,,"D01-B08-H041,D01-B09-H029,D01-B09-H030,D01-B09-H031,D01-B09-H032,D01-B09-H033,D01-B09-H034,D01-B09-H052,D01-B09-H053"
36.315825,32.301615,D1-B10-T1,4,160,,,"D01-B10-H254,D01-B10-H255,D01-B10-H256,D01-B10-H257,D01-B10-H275,D01-B10-H276"
36.31631,32.30174,D1-B10-T2,4,160,,,"D01-B10-H249,D01-B10-H250,D01-B10-H251,D01-B10-H252,D01-B10-H253"
36.315984,32.301421,D1-B10-T3,4,160,,,"D01-B10-H245,D01-B10-H246,D01-B10-H247,D01-B10-H248,D01-B10-H255,D01-B10-H258"
